Age	Attrition	Department	EducationField	EmployeID	Gender	JobRole	MaritalStatus	MonthlyIncome
40	No	Research & Development		119	Male	Healthcare Representative	Married	-13503
51	No	Sales	Marketing	120	Male	Sales Executive	Single	5441
30	No	Sales	Medical	121	Female	Sales Executive	Divorced	5209
46	No	Research & Development	Medical	124	Male	Healthcare Representative		10673
32	No	Sales		125	Male	Sales Executive	Single	5010
54	No	Research & Development	Technical Degree	126	Female	Research Director	Married	13549
24	No	Sales	Other	128	Female	Sales Executive	Married	-4999
28	No	Sales	Medical	129	Male	Sales Executive	Married	4221
58	No	Sales	Medical	131	Male	Sales Executive	Single	13872
44	No	Research & Development	Medical	132	Male	Laboratory Technician	Married	2042
37	Yes	Human Resources	Human Resources	133	Male	Human Resources	Divorced	2073
32	No	Research & Development	Life Sciences	134	Male	Research Scientist	Single	2956
20	Yes	Research & Development	Life Sciences	137	Female	Laboratory Technician	Single	2926
34	No	Research & Development	Other	138	Female	Research Scientist	Single	4809
37	No		Life Sciences	139	Male	Healthcare Representative	Divorced	5163
59	No	Human Resources	Human Resources	140	Female	Manager	Married	18844
50	No	Research & Development	Life Sciences	141	Female	Research Director	Married	18172
25	Yes	Sales	Marketing	142	Male	Sales Executive	Single	5744
25	No	Research & Development	Medical	143	Male	Research Scientist	Married	2889
22	No	Research & Development	Medical	144	Female	Laboratory Technician	Single	2871
51	No	Research & Development	Medical	145	Female	Healthcare Representative	Single	7484
34	Yes	Research & Development	Life Sciences	147	Male	Laboratory Technician	Single	6074
54	No	Human Resources	Human Resources	148	Female	Manager	Single	17328
24	No	Research & Development	Life Sciences	150	Male	Laboratory Technician	Married	2774
34	No	Research & Development	Life Sciences	151	Female	Research Scientist	Divorced	4505
37	No	Sales	Life Sciences	152	Male	Sales Executive	Single	7428
34	No	Research & Development	Medical	153	Female	Manager	Single	11631
36	No	Sales	Technical Degree	154	Female	Sales Executive	Married	9738
36	No	Research & Development	Life Sciences	155	Female	Laboratory Technician	Divorced	2835
43	No	Sales	Life Sciences	158	Male	Manager	Married	16959
30	No	Research & Development	Life Sciences	159	Male	Research Scientist	Divorced	2613
33	No	Sales	Marketing	160	Male	Sales Executive	Married	6146
56	Yes	Research & Development	Life Sciences	161	Female	Research Scientist	Married	4963
51	No	Research & Development		162	Male	Research Director	Single	19537
31	Yes	Sales	Life Sciences		Male	Sales Executive	Married	6172
26	No	Research & Development	Other	164		Research Scientist	Married	2368
58	Yes	Research & Development	Medical	165	Female	Healthcare Representative	Married	10312
19	Yes	Sales	Marketing	167	Male	Sales Representative	Single	1675
22	No	Research & Development	Technical Degree	169	Male		Married	2523
49	No	Research & Development	Medical	170	Female	Manufacturing Director	Married	-6567
43	No	Research & Development	Medical	171	Female	Research Scientist	Single	4739
50	No	Sales	Marketing	174	Female	Sales Executive	Single	9208
31	Yes	Sales	Life Sciences	175	Female	Sales Executive	Married	4559
41	No	Sales	Life Sciences	176	Male	Sales Executive	Divorced	8189
26	No	Human Resources	Life Sciences	177	Female	Human Resources	Married	2942
36	No	Research & Development	Medical	178	Male	Manufacturing Director	Divorced	4941
51	Yes	Research & Development	Life Sciences	179	Male	Manufacturing Director	Single	10650
39	No	Sales	Life Sciences	182	Female	Sales Executive	Married	5902
25	No	Sales	Life Sciences	183	Male	Sales Executive	Married	8639
30	No	Human Resources	Human Resources	164	Male	Human Resources	Married	6347
32	Yes	Research & Development	Medical	190	Female	Laboratory Technician	Single	4200
45	No	Research & Development	Medical	192	Male	Research Scientist	Single	3452
38	No	Research & Development	Technical Degree	193	Female	Research Scientist	Single	4317
30	No	Research & Development	Life Sciences	194	Female	Research Scientist	Single	2632
32	No	Sales	Medical	195	Male	Sales Executive	Divorced	4668
30	No	Research & Development	Technical Degree	197	Female	Research Scientist	Divorced	3204
30	No	Research & Development	Medical	198	Male	Laboratory Technician	Single	2720
41	No	Research & Development	Life Sciences	200	Male	Manager	Divorced	17181
41	No	Research & Development	Life Sciences	200	Male	Laboratory Technician	Married	2238
19	No	Research & Development	Medical	201	Female	Laboratory Technician	Single	1483
40	No	Research & Development	Medical	202	Female	Research Scientist	Divorced	5605
35	No	Sales	Marketing	204	Male	Sales Executive	Married	7295
53	No	Sales	Marketing	205	Male	Sales Representative	Married	2306
45	No	Research & Development	Life Sciences	206	Male	Laboratory Technician	Divorced	2348
32	No	Sales	Marketing	207	Female	Sales Executive	Single	8998
29	No	Research & Development	Technical Degree	206	Male	Manufacturing Director	Married	4319
51	No	Research & Development	Medical	211	Male	Manufacturing Director	Married	6132
58	No	Research & Development	Medical	214	Female	Research Scientist	Married	3346
40	No	Sales	Marketing	215	Male	Sales Executive	Married	10855
34	No	Sales	Marketing	216	Female	Sales Representative	Married	2231
22	No	Research & Development	Medical		Male	Research Scientist	Married	2323
27	No	Research & Development	Medical	218	Male	Research Scientist	Divorced	2024
28	No	Research & Development	Medical	221	Male	Research Scientist	Married	2713
57	No	Research & Development	Life Sciences	223	Male	Healthcare Representative	Divorced	9439
27	No	Research & Development	Medical	224	Male	Research Scientist	Divorced	2566
50	No	Research & Development	Life Sciences	226	Female	Manager	Single	19926
41	No	Research & Development	Life Sciences	227	Male	Research Scientist	Divorced	2451
30	No	Sales	Life Sciences	228	Female	Sales Executive	Married	9419
38	No	Sales	Life Sciences	230	Female	Sales Executive	Single	8686
32	No	Research & Development	Life Sciences	231	Male	Research Scientist	Single	3038
27	No	Research & Development	Technical Degree	233	Male	Research Scientist	Married	3058
19	Yes	Sales	Technical Degree	235	Female	Sales Representative	Single	2325
36	No	Research & Development	Medical	238	Male	Laboratory Technician	Single	2088
30	No	Research & Development	Medical	239	Male	Laboratory Technician	Divorced	3072
45	No	Sales	Life Sciences	240	Female	Sales Executive	Divorced	5006
56	No	Research & Development	Life Sciences	241	Female	Research Scientist	Divorced	4257
33	No	Research & Development	Life Sciences	242	Male	Research Scientist	Single	2500
19	Yes	Research & Development	Life Sciences	243	Male	Laboratory Technician	Single	1102
46	No	Sales	Marketing	244	Female	Sales Executive	Divorced	10453
38	No	Research & Development	Life Sciences	245	Female	Laboratory Technician	Single	2288
31	No	Research & Development	Medical	246	Female	Research Scientist	Married	3929
34	No	Research & Development	Medical	247	Female	Research Scientist	Single	2311
41	Yes	Sales	Marketing	248	Female	Sales Representative	Single	3140
50	No	Research & Development	Medical	249	Male	Laboratory Technician	Married	3690
53	No	Research & Development	Medical	250	Female	Manufacturing Director	Divorced	4450
33	No	Research & Development	Medical	252	Female	Research Scientist	Married	2756
40	No	Research & Development	Medical	253	Female	Manager	Married	19033
55	No	Research & Development	Medical	254	Male	Research Director	Single	18722
34	No	Research & Development	Life Sciences	256	Male	Manufacturing Director	Married	9547
51	No	Research & Development	Medical	258	Female	Healthcare Representative	Single	13734
52	No	Research & Development	Life Sciences	259	Male	Manager	Married	19999
27	No	Research & Development	Medical	260	Female	Research Scientist	Single	2279
35	Yes	Research & Development	Life Sciences	261	Male	Manufacturing Director	Married	5916
43	No	Research & Development	Medical	262	Male	Research Scientist	Divorced	2089
45	No	Research & Development	Medical	264	Male	Manager	Married	16792
37	No	Research & Development	Life Sciences	267	Male	Research Scientist	Married	3564
35	No	Research & Development	Medical	269	Female	Laboratory Technician	Single	4425
42	No	Research & Development	Medical	270	Female	Manufacturing Director	Divorced	5265
38	No	Research & Development	Life Sciences	271	Male	Manufacturing Director	Married	6553
38	No	Research & Development	Technical Degree	273	Male	Manufacturing Director	Married	6261
27	No	Research & Development	Technical Degree	274	Male	Manufacturing Director	Married	4298
49	No	Research & Development	Life Sciences	275	Male	Manufacturing Director	Divorced	6804
34	No	Research & Development	Medical	277	Male	Research Scientist	Divorced	3815
40	No	Research & Development	Medical	281	Male	Laboratory Technician	Married	2741
38	Yes	Research & Development	Medical	282	Male	Healthcare Representative	Married	6673
29	Yes	Sales	Marketing	283	Female	Sales Executive	Married	7639
22	No	Research & Development	Life Sciences	284	Male	Research Scientist	Divorced	2328
36	No	Research & Development	Medical	286	Female	Laboratory Technician	Single	2153
40	No	Research & Development	Life Sciences	287	Male	Healthcare Representative	Married	4876
46	No	Research & Development	Medical	288	Male	Healthcare Representative	Divorced	9396
32	Yes	Sales	Medical	291	Male	Sales Executive	Married	10400
30	No	Research & Development	Life Sciences	292	Male	Manufacturing Director	Single	8474
27	No	Sales	Life Sciences	293	Female	Sales Executive	Single	9981
51	No	Research & Development	Life Sciences	296	Male	Research Director	Married	12490
30	Yes	Research & Development	Technical Degree	297	Female	Research Scientist	Single	2657
41	No	Sales	Life Sciences	298	Female	Manager	Single	13591
30	Yes	Sales	Marketing	299	Female	Sales Executive	Single	6696
29	Yes	Research & Development	Technical Degree	300	Male	Research Scientist	Single	2058
45	No	Sales	Medical	302	Female	Sales Executive	Single	8865
54	No	Sales	Marketing	303	Female	Sales Executive	Married	5940
36	No	Research & Development	Life Sciences	304	Male	Laboratory Technician	Single	5914
33	No	Research & Development	Medical	305	Female	Research Scientist	Married	2622
37	No	Research & Development	Other	306	Male	Research Director	Divorced	12185
38	No	Sales	Life Sciences	307	Male	Sales Executive	Divorced	10609
31	No	Research & Development	Medical	308	Male	Manufacturing Director	Married	4345
59	No	Research & Development	Life Sciences	309	Male	Research Scientist	Married	2177
37	No	Sales	Marketing	311	Male	Sales Representative	Divorced	2793
29	No	Sales	Medical	311	Female	Sales Executive	Married	7918
35	No	Sales	Marketing	314	Female	Sales Executive	Single	8789
29	Yes	Research & Development	Medical	315	Male	Research Scientist	Single	2389
52	No	Research & Development	Life Sciences	316	Female	Laboratory Technician	Single	3212
42	No	Research & Development	Technical Degree	319	Male	Manager	Married	19232
59	No	Human Resources	Medical	321	Male	Human Resources	Married	2267
50	No	Sales	Medical	323	Female	Manager	Divorced	19517
33	Yes	Research & Development	Medical	325	Male	Laboratory Technician	Married	2436
43	No	Sales	Marketing	327	Female	Manager	Married	16064
33	Yes	Research & Development	Life Sciences	328	Female	Laboratory Technician	Married	2707
52	No	Sales	Life Sciences	329	Male	Manager	Single	19068
32	No	Sales	Life Sciences	330	Female	Sales Representative	Married	3931
32	Yes	Research & Development	Life Sciences	331	Male	Laboratory Technician	Single	3730
39	No	Research & Development	Medical	332	Female	Laboratory Technician	Divorced	2232
32	No	Sales	Marketing	333	Male	Sales Executive	Married	4465
41	No	Research & Development	Life Sciences	334	Male	Research Scientist	Divorced	3072
40	No	Research & Development	Technical Degree	335	Male	Research Scientist	Divorced	3319
45	No	Research & Development	Other	336	Male	Manager	Married	19202
31	No	Research & Development	Medical	337	Male	Research Director	Divorced	13675
33	No	Research & Development	Life Sciences	338	Female	Research Scientist	Married	2911
34	No	Research & Development	Life Sciences	339	Male	Manufacturing Director	Married	5957
37	No	Research & Development	Medical	340	Female	Research Scientist	Married	3920
45	No	Research & Development	Life Sciences	341	Male	Manufacturing Director	Married	6434
37	Yes	Research & Development	Medical	342	Male	Manufacturing Director	Divorced	10048
39	No	Research & Development	Technical Degree	343	Female	Healthcare Representative	Single	10938
29	No	Research & Development	Life Sciences	346	Male	Research Scientist	Single	2340
42	No	Research & Development	Life Sciences	347	Female	Research Scientist	Single	6545
29	No	Sales	Marketing	349	Male	Sales Executive	Divorced	6931
25	No	Research & Development	Life Sciences	350	Female	Manufacturing Director	Married	4898
42	No	Research & Development	Medical	351	Female	Laboratory Technician	Divorced	2593
40	No	Research & Development	Medical	352	Male	Research Director	Divorced	19436
51	No	Research & Development	Life Sciences	353	Male	Research Scientist	Married	2723
31	Yes	Research & Development	Medical	355	Male	Laboratory Technician	Single	3479
32	No	Research & Development	Life Sciences	359	Male	Laboratory Technician	Married	2794
38	No	Sales	Life Sciences	361	Male	Sales Executive	Married	5249
32	No	Research & Development	Technical Degree	362	Male	Laboratory Technician	Single	2176
46	No	Sales	Technical Degree	363	Female	Manager	Married	16872
28	Yes	Research & Development	Life Sciences	364	Male	Laboratory Technician	Single	3485
29	No	Sales	Medical	366	Male	Sales Executive	Married	6644
31	No	Research & Development	Medical	367	Male	Healthcare Representative	Married	5582
25	No	Research & Development	Life Sciences	369	Male	Healthcare Representative	Divorced	4000
45	No	Research & Development	Medical	372	Male	Healthcare Representative	Married	13496
36	No	Research & Development	Life Sciences	373	Male	Laboratory Technician	Married	3210
55	No	Research & Development	Medical	374	Male	Manager	Single	19045
47	Yes	Research & Development	Life Sciences	376	Male	Manager	Married	11849
28	No	Research & Development	Medical	377	Male	Research Scientist	Married	2070
37	No	Sales	Medical	378	Male	Sales Executive	Married	6502
21	No	Research & Development	Medical	379	Male	Research Scientist	Single	3230
37	No	Research & Development	Medical	380	Female	Research Director	Divorced	13603
35	No	Research & Development	Life Sciences	381	Female	Manager	Divorced	11996
38	No	Sales	Medical	382	Female	Sales Executive	Divorced	5605
26	No	Research & Development	Life Sciences	384	Female	Manufacturing Director	Divorced	6397
50	No	Research & Development	Life Sciences	385	Male	Research Director	Divorced	19144
53	No	Research & Development	Medical	386	Male	Research Director	Married	17584
42	No	Sales	Life Sciences	387	Male	Sales Executive	Married	4907
29	No	Sales	Life Sciences	388	Male	Sales Executive	Single	4554
55	No	Research & Development	Technical Degree	389	Male	Laboratory Technician	Married	5415
26	No	Research & Development	Medical	390	Male	Healthcare Representative	Married	4741
37	No	Research & Development	Life Sciences	391	Female	Research Scientist	Single	2115
44	Yes	Research & Development	Life Sciences	392	Male	Laboratory Technician	Divorced	3161
38	No	Research & Development	Life Sciences	393	Male	Healthcare Representative	Divorced	5745
26	Yes	Research & Development	Medical	394	Male	Laboratory Technician	Divorced	2373
28	No	Research & Development	Life Sciences	395	Female	Research Scientist	Single	3310
49	No	Research & Development	Life Sciences	396	Female	Research Director	Single	18665
36	No	Research & Development	Technical Degree	397	Male	Research Scientist	Single	4485
31	No	Sales	Marketing	399	Female	Sales Representative	Divorced	2789
26	Yes	Sales	Marketing	401	Male	Sales Executive	Single	5828
37	No	Research & Development	Medical	403	Male	Research Scientist	Married	2326
42	No	Sales	Marketing	404	Female	Sales Executive	Married	13525
18	Yes	Research & Development	Life Sciences	405	Male	Laboratory Technician	Single	1420
35	No	Sales	Marketing	406	Male	Sales Executive	Married	8020
36	No	Research & Development	Life Sciences	407	Male	Laboratory Technician	Married	3688
51	No	Research & Development	Medical	408	Male	Manufacturing Director	Divorced	5482
41	No	Sales	Life Sciences	410	Male	Manager	Single	16015
18	No	Sales	Medical	411	Female	Sales Representative	Single	1200
28	No	Research & Development	Medical	412	Male	Healthcare Representative	Single	5661
31	No	Sales	Technical Degree	416	Male	Sales Executive	Married	6929
39	No	Research & Development	Medical	417	Male	Healthcare Representative	Divorced	9613
36	No	Research & Development	Life Sciences	419	Female	Laboratory Technician	Married	5674
32	No	Sales	Life Sciences	420	Male	Sales Executive	Married	5484
38	No	Research & Development	Life Sciences	421	Female	Research Director	Married	12061
58	No	Research & Development	Life Sciences	422	Male	Healthcare Representative	Divorced	5660
31	No	Research & Development	Technical Degree	423	Male	Research Scientist	Married	4821
31	No	Human Resources	Human Resources	424	Male	Human Resources	Married	6410
45	No	Research & Development	Life Sciences	425	Male	Laboratory Technician	Divorced	5210
31	No	Research & Development	Life Sciences	426	Male	Research Scientist	Divorced	2695
33	No	Research & Development	Life Sciences	428	Female	Manager	Married	11878
39	No	Research & Development	Medical	429	Male	Manager	Married	17068
43	No	Research & Development	Life Sciences	430	Female	Laboratory Technician	Single	2455
49	No	Research & Development	Technical Degree	431	Female	Healthcare Representative	Single	13964
52	Yes	Research & Development	Medical	433	Male	Research Scientist	Married	4941
27	No	Research & Development	Life Sciences	434	Female	Research Scientist	Single	2478
32	No	Sales	Technical Degree	456	Female	Sales Executive	Married	5228
27	No	Sales	Life Sciences	437	Male	Sales Executive	Single	4478
31	No	Sales	Marketing	438	Male	Sales Executive	Divorced	7547
32	No	Research & Development	Medical	439	Female	Research Scientist	Single	5055
28	Yes	Research & Development	Medical	440	Male	Research Scientist	Married	3464
30	No	Research & Development	Medical	441	Female	Research Scientist	Married	5775
31	No	Research & Development	Life Sciences	442	Female	Manufacturing Director	Married	8943
39	No	Research & Development	Medical	444	Male	Manager	Married	19272
39	Yes	Sales	Medical	445	Female	Sales Executive	Married	5238
33	No	Sales	Marketing	446	Male	Sales Executive	Single	4682
47	No	Research & Development	Life Sciences	447	Male	Research Director	Married	18300
43	No	Research & Development	Life Sciences	448	Female	Laboratory Technician	Divorced	5257
27	No	Sales	Marketing	449	Male	Sales Executive	Married	6349
54	No	Research & Development	Life Sciences	450	Female	Research Scientist	Single	4869
43	No	Research & Development	Life Sciences	451	Female	Healthcare Representative	Married	9985
45	No	Research & Development	Other	452	Male	Research Scientist	Married	3697
40	No	Sales	Medical	453	Male	Sales Executive	Married	7457
29	Yes	Research & Development	Other	454	Male	Laboratory Technician	Married	2119
29	No	Research & Development	Other	455	Male	Laboratory Technician	Single	3983
30	No	Sales	Marketing	456	Female	Sales Executive	Divorced	6118
27	No	Sales	Marketing	458	Female	Sales Executive	Married	6214
37	No	Research & Development	Medical	460	Male	Manufacturing Director	Divorced	6347
38	No	Research & Development	Life Sciences	461	Male	Research Director	Divorced	11510
31	No	Research & Development	Medical	462	Female	Manufacturing Director	Single	7143
29	No	Sales	Marketing	463	Female	Sales Executive	Divorced	8268
35	No	Research & Development	Technical Degree	464	Male	Manufacturing Director	Single	8095
23	No	Research & Development	Life Sciences	465	Male	Research Scientist	Divorced	2904
41	No	Research & Development	Medical	466	Male	Manufacturing Director	Single	6032
47	No	Sales	Medical	467	Male	Sales Representative	Single	2976
42	No	Research & Development	Life Sciences	468	Female	Research Director	Single	15992
29	No	Sales	Life Sciences	469	Male	Sales Executive	Married	4649
42	No	Human Resources	Technical Degree	470	Male	Human Resources	Divorced	2696
32	No	Research & Development	Medical	471	Female	Laboratory Technician	Married	2370
48	No	Sales	Medical	473	Female	Manager	Married	12504
37	No	Research & Development	Medical	474	Male	Research Scientist	Divorced	5974
30	No	Sales	Technical Degree	475	Female	Sales Executive	Married	4736
26	No	Sales	Life Sciences	476	Male	Sales Executive	Married	5296
42	No	Research & Development	Other	477	Male	Healthcare Representative	Single	6781
21	Yes	Sales	Technical Degree	478	Female	Sales Representative	Single	2174
36	No	Sales	Medical	479	Female	Sales Executive	Single	6653
36	No	Sales	Medical	481	Male	Sales Executive	Married	9699
57	No	Research & Development	Medical	482	Male	Healthcare Representative	Married	6755
40	No	Research & Development	Life Sciences	483	Female	Laboratory Technician	Married	2213
21	No	Sales	Medical	484	Male	Sales Representative	Single	2610
33	Yes	Sales	Marketing	485	Female	Sales Representative	Single	2851
37	No	Research & Development	Medical	486	Female	Laboratory Technician	Married	3452
46	No	Research & Development	Medical	487	Female	Manufacturing Director	Married	5258
41	Yes	Sales	Marketing	488	Male	Sales Executive	Single	9355
50	No	Research & Development	Technical Degree	491	Male	Healthcare Representative	Single	10496
40	Yes	Sales	Marketing	492	Male	Sales Executive	Married	6380
31	No	Research & Development	Life Sciences	493	Male	Research Scientist	Single	2657
21	Yes	Sales	Life Sciences	494	Female	Sales Representative	Single	2716
29	No	Research & Development	Life Sciences	495	Male	Research Scientist	Single	2201
35	No	Research & Development	Life Sciences	496	Male	Healthcare Representative	Single	6540
27	No	Research & Development	Medical	497	Male	Laboratory Technician	Divorced	3816
28	No	Sales	Life Sciences	498	Male	Sales Executive	Single	5253
49	No	Research & Development	Other	499	Male	Healthcare Representative	Single	10965
51	No	Sales	Life Sciences	500	Female	Sales Executive	Married	4936
36	No	Research & Development	Life Sciences	501	Female	Research Scientist	Married	2543
34	Yes	Sales	Marketing	502	Male	Sales Executive	Single	5304
55	No	Research & Development	Life Sciences	505	Female	Manager	Single	16659
24	No	Sales	Marketing	507	Female	Sales Executive	Divorced	4260
30	No	Sales	Technical Degree	508	Male	Sales Representative	Married	2476
26	Yes	Research & Development	Technical Degree	510	Male	Research Scientist	Single	3102
22	No	Research & Development	Medical	511	Female	Research Scientist	Married	2244
36	No	Sales	Medical	513	Male	Sales Executive	Married	7596
30	Yes	Research & Development	Technical Degree	514	Male	Research Scientist	Single	2285
37	No	Research & Development	Life Sciences	515	Female	Laboratory Technician	Divorced	3034
40	No	Sales	Marketing	516	Female	Sales Executive	Divorced	5715
42	No	Research & Development	Life Sciences	517	Female	Laboratory Technician	Divorced	2576
37	No	Research & Development	Life Sciences	518	Male	Manufacturing Director	Single	4197
43	No	Research & Development	Life Sciences	520	Male	Research Director	Divorced	14336
40	No	Research & Development	Medical	521	Female	Laboratory Technician	Married	3448
54	No	Research & Development	Medical	522	Male	Research Director	Married	19406
34	No	Sales	Marketing	523	Female	Sales Executive	Married	6538
31	No	Research & Development	Medical	524	Female	Manufacturing Director	Married	4306
43	No	Research & Development	Medical	525	Male	Laboratory Technician	Married	2258
43	No	Research & Development	Other	526	Female	Healthcare Representative	Divorced	4522
25	No	Sales	Life Sciences	527	Female	Sales Executive	Single	4487
37	No	Research & Development	Medical	529	Female	Research Scientist	Married	4449
31	No	Research & Development	Life Sciences	530	Male	Laboratory Technician	Married	2218
39	No	Research & Development	Life Sciences	531	Male	Manager	Divorced	19197
56	No	Sales	Life Sciences	532	Female	Sales Executive	Married	13212
30	No	Sales	Technical Degree	533	Female	Sales Executive	Single	6577
41	No	Sales	Marketing	534	Male	Sales Executive	Married	8392
28	No	Research & Development	Medical	536	Male	Laboratory Technician	Divorced	4558
25	Yes	Research & Development	Medical	538	Male	Laboratory Technician	Married	4031
52	No	Research & Development	Medical	543	Male	Manufacturing Director	Married	7969
45	No	Research & Development	Life Sciences	544	Male	Research Scientist	Married	2654
52	No	Research & Development	Life Sciences	546	Female	Manager	Married	16555
